Name,User #,Discord,Time Zone,TZ#,Tier,Zone,Division
ilikus,,@ilikus#8605,Europe/Berlin,2:00,F,EU,F14
Ingix,1116,@Ingix#4543,Europe/Berlin,2:00,F,EU,F15
Iras42,,@Iras#6207,Europe/Berlin,2:00,F,EU,F13
jared_rockenstein,,@jared_rockenstein#0153,America/Chicago,-5:00,F,AME,F3
Jerrydot,,@Jerry#6727,Europe/London,1:00,F,EU,F14
jgoyes,5983,@jgoyes#7612,America/Bogota,-5:00,F,AME,F5
jmjjmj,,@jmjjmj#6645,America/New_York,-4:00,F,AME,F1
jtim1013,5082,@jtim1013#5682,America/Chicago,-5:00,F,AME,F4
karenttrouble,5034,@karenttrouble#3396,America/New_York,-4:00,F,AME,F2
KennyTBK,,@KennyTBK#5188,Asia/Singapore,8:00,F,AS,F
koemanmike,3566,@lammetje#6176,Europe/Berlin,2:00,F,EU,F16
kubar,,@kubar#7761,America/New_York,-4:00,F,AME,F5
Lard Rattington,,@Lard Rattington#5987,America/Toronto,-4:00,F,AME,F4
malmerung,,@malmerung#4949,America/New_York,-4:00,F,AME,F4
Malta,5202,@Malta#4441,Europe/Berlin,2:00,F,ATL,F12
maltman,,@Maltman#8014,America/Chicago,-5:00,F,AME,F7
maxw1717,,@maxw1717#0148,America/New_York,-4:00,F,AME,F6
mazegeek999,7290,@Jarod Fedele#0716,America/Los_Angeles,-7:00,F,AMW,F10
Memories,4774,@Memories#7270,America/Chicago,-5:00,F,AME,F3
Miaww,,@Miawwschrodinger#4998,America/New_York,-4:00,F,AME,F
MicahTheDebater,7215,@Bull#0397,America/New_York,-4:00,F,AME,F3
mikaelsson,,@mikaelsson#1535,Europe/Stockholm,2:00,F,ATL,F12
Mort,,@Mort#0680,Europe/Berlin,2:00,F,EU,F13
Nez477,6837,@nez#9862,America/Los_Angeles,-7:00,F,AMW,F8
Noi Waters,,@SnowFall#9171,America/Indiana/Indianapolis,-4:00,F,AME,F4
OG Patrik,6733,@OG Patrik#2512,Europe/Berlin,2:00,F,EU,F16
oshiimine,7035,@oshiimine#8919,America/New_York,-4:00,F,AME,F5
p4ddy0d00rs,1370,@/° /~\ ♪♪ ¥#6090,America/New_York,-4:00,F,AME,F7
Paul Christiano,,@paulfchristiano#1746,America/Los_Angeles,-7:00,F,AMW,F10
pianovince,,@Shazbot#9342,Asia/Taipei,8:00,F,AS,F11
Plazek,,@Plazek#0108,Europe/Warsaw,2:00,F,EU,F14
pregnantbird,5493,@pregnantbird#6235,Europe/Berlin,2:00,F,EU,F13
RiverPatron,,@riverpatron#0183,America/New_York,-4:00,F,AME,F
robertox,6144,@robertox#9309,Europe/Madrid,2:00,F,EU,F13
Schlafi,6314,@schlafi#3777,Europe/Berlin,2:00,F,ATL,F12
ScoopyPls,6972,@scoopypls#5638,America/Chicago,-5:00,F,ATL,F12
Shiz,6994,@Oele#6924,Europe/London,1:00,F,EU,F16
spineflu,6808,@spineflu#1868,America/New_York,-4:00,F,AME,F4
stonedmason,5668,@stonedmason#0860,America/Los_Angeles,-7:00,F,ATL,F12
TeakPitkin,6561,@TeakPitkin#2612,America/Los_Angeles,-7:00,F,AMW,F9
terracubist,7023,@terracubist#3361,America/Los_Angeles,-7:00,F,AMW,F8
tgtaft,7005,@tgtaft#0560,America/Chicago,-5:00,F,AME,F1
TheBergster,,@TheBergster#3585,America/Denver,-6:00,F,AMW,F9
theschnitz,7128,@theschnitz#0960,America/Los_Angeles,-7:00,F,AMW,F9
thetruequ,,@thetruequ#8755,America/Los_Angeles,-7:00,F,AMW,F8
TrinaCat,5498,@TrinaCat#3719,America/Los_Angeles,-7:00,F,AMW,F8
trippy,,@trippy#4190,America/New_York,-4:00,F,AME,F7
troth20,3023,@troth20#3023,America/New_York,-4:00,F,AME,F7
UltimateGeek,5716,@UltimateGeek#3978,America/Chicago,-5:00,F,AME,F7
unagi.don,,@ammi#8895,America/Chicago,-5:00,F,AME,F3
universalflamez,6777,@Arnold Friend#3292,America/Chicago,-5:00,F,AME,F1
vmaria22,6374,@vmaria22#3007,America/New_York,-4:00,F,AME,F6
VoiceoftheWind,,@VoiceoftheWind#6833,Europe/Rome,2:00,F,EU,F13
wmorgan,,@wm#5577,America/Los_Angeles,-7:00,F,AMW,F9
22jonhunt,,@22jonhunt#2188,America/New_York,-4:00,G,AME,G11
Absurdicus,,@Absurdicus#1892,Europe/Berlin,2:00,G,EU,G31
AcidDominion,7349,@BK#7366,Europe/Berlin,2:00,G,EU,G30
acocle,,@acocle#6536,America/Chicago,-5:00,G,AME,G13
Aharow21,,@Aharow21#5589,America/New_York,-4:00,G,AME,G5
AHNorris21,,@AHNorris21#2832,America/Toronto,-4:00,G,AME,G7
AJay887,6166,@AJay887#1000,America/Chicago,-5:00,G,AME,G15
alexgor23,6381,@alexgor23#2719,America/Chicago,-5:00,G,AME,G11
