Score,Season,Players,Score,P1,P2,P1 Wins,P2 Wins,Tier
,42,,,karenttrouble,NotAVan,4,2,F6
,42,,,NotAVan,johntgrizzz,1,2,F6
,42,,,johntgrizzz,karenttrouble,4.5,1.5,F6
,42,,,WillPower264,snappyboi,4,2,F7
,42,,,blissfulmaestro,hierarch,5,1,F7
,42,,,WillPower264,Skr1mp,2.5,3.5,F7
,42,,,hierarch,snappyboi,3,3,F7
,42,,,blissfulmaestro,missouriben,4,2,F7
,42,,,missouriben,snappyboi,3.5,2.5,F7
,42,,,blissfulmaestro,Skr1mp,4,2,F7
,42,,,snappyboi,Skr1mp,3,3,F7
,42,,,Skr1mp,hierarch,3,3,F7
,42,,,missouriben,WillPower264,4,2,F7
,42,,,Skr1mp,missouriben,4,2,F7
,42,,,WillPower264,blissfulmaestro,0,6,F7
,42,,,missouriben,hierarch,4,2,F7
,42,,,WillPower264,hierarch,4,2,F7
,42,,,snappyboi,blissfulmaestro,4,2,F7
,42,,,bosmang39,TrinaCat,5,1,F8
,42,,,MunkFSH,bosmang39,4,2,F8
,42,,,MunkFSH,TrinaCat,5,1,F8
,42,,,Hammer12,MunkFSH,4,2,F8
,42,,,Hammer12,TrinaCat,4,2,F8
,42,,,rudeboy38,TrinaCat,5,1,F8
,42,,,Hammer12,rudeboy38,3,3,F8
,42,,,rudeboy38,bosmang39,3,3,F8
,42,,,Hammer12,bosmang39,4,2,F8
,42,,,rudeboy38,MunkFSH,2,4,F8
,42,,,Gregors67,rudeboy38,4,2,F8
,42,,,Gregors67,MunkFSH,3,3,F8
,42,,,bosmang39,Gregors67,2,4,F8
,42,,,Gregors67,Hammer12,5,1,F8
,42,,,TrinaCat,Gregors67,2,4,F8
,42,,,thetruequ,TeakPitkin,3,0,F9
,42,,,khalnayak,matteroftechnique,0,3,F9
,42,,,thetruequ,khalnayak,3,0,F9
,42,,,thetruequ,khalnayak,2,1,F9
,42,,,thetruequ,matteroftechnique,4,0,F9
,42,,,thetruequ,real77,2,1,F9
,42,,,thetruequ,real77,2,1,F9
,42,,,real77,TeakPitkin,3,0,F9
,42,,,thetruequ,TeakPitkin,3,0,F9
,42,,,TeakPitkin,real77,1,0,F9
,42,,,khalnayak,TeakPitkin,2,1,F9
,42,,,real77,TeakPitkin,1,1,F9
,42,,,real77,khalnayak,2,1,F9
,42,,,real77,khalnayak,2,1,F9
,42,,,khalnayak,TeakPitkin,1,2,F9
,42,,,ninjia3x,luckat,2,4,F10
,42,,,Folivora,TheBergster,2,2,F10
,42,,,Folivora,ninjia3x,5.5,0.5,F10
,42,,,luckat,catdontbark,5,1,F10
,42,,,luckat,Folivora,4,2,F10
,42,,,TheBergster,luckat,5,1,F10
,42,,,Folivora,catdontbark,3,2,F10
,42,,,catdontbark,TheBergster,3,3,F10
,42,,,TheBergster,Folivora,2,0,F10
,42,,,catdontbark,ninjia3x,3,3,F10
,42,,,ninjia3x,TheBergster,4,2,F10
,42,,,Folivora,catdontbark,1,0,F10
,42,,,Alex HR,yahas,3,0,F11
,42,,,yahas,derpa,2,1,F11
,42,,,yahas,pianovince,3,0,F11
,42,,,yahas,Alex HR,3,0,F11
,42,,,yahas,derpa,1,2,F11
,42,,,charstar5,Alex HR,4,2,F11
,42,,,chocojoe,Alex HR,2,4,F11
,42,,,chocojoe,yahas,3,0,F11
,42,,,derpa,Alex HR,5,1,F11
,42,,,yahas,chocojoe,2,1,F11
,42,,,pianovince,Alex HR,2,1,F11
,42,,,derpa,chocojoe,5,1,F11
,42,,,yahas,charstar5,3,0,F11
,42,,,yahas,charstar5,1,2,F11
,42,,,Alex HR,pianovince,1,2,F11
,42,,,derpa,charstar5,2,4,F11
,42,,,pianovince,chocojoe,5,1,F11
,42,,,yahas,pianovince,1,2,F11
,42,,,derpa,pianovince,4,2,F11
,42,,,pianovince,charstar5,3,3,F11
,42,,,chocojoe,charstar5,5,1,F11
,42,,,andylatto,Alipata,3,3,F12
,42,,,Mort,andylatto,4,0,F12
,42,,,ravivas,Mort,5,1,F12
,42,,,Mort,Beachcomber,4,2,F12
,42,,,Alipata,Beachcomber,4,2,F12
,42,,,Mort,Alipata,4,2,F12
,42,,,ravivas,Alipata,3,0,F12
,42,,,ravivas,Alipata,2,1,F12
,42,,,Mort,andylatto,1,1,F12
,42,,,ravivas,andylatto,6,0,F12
,42,,,ravivas,Beachcomber,2,4,F12
,42,,,andylatto,Beachcomber,4,2,F12
,42,,,Thabo,Gasku,4,2,F13
